cell_line	expression_AR	status_AR	expression_ESR1	status_ESR1	expression_ERBB2	status_ERBB2	expression_PGR	status_PGR	subtype_three_receptor	subtype_neve	subtype_claudin_low	subtype_curtis	subtype_intrinsic	subtype_lehmann_tnbc	subtype_marcotte	subtype_rppa	subtype_screen_unsupervised
184a1	-3.322	low	-3.006	low	4.231	low	-3.322	low	TNBC	basalb	other	Intclust4	Normal	BL2	cluster4	rppa1	cluster4
184b5	-3.322	low	0.315	low	4.719	low	-3.322	low	TNBC	basalb	other	Intclust3	Normal	BL2	cluster4	rppa1	cluster4
600mpe	3.037	high	3.743	high	6.635	low	-3.322	low	ER	luminal	other	Intclust8	LuminalA	NA	cluster6	rppa8	cluster3
au565	2.762	high	-0.815	low	10.955	high	-3.322	low	ERBB2	her2	other	Intclust5	HER2	NA	cluster5	rppa9	cluster1
bt20	-3.322	low	0.147	low	4.855	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	LAR	cluster5	rppa4	cluster4
bt474	4.101	high	3.809	high	9.723	high	7.17	high	ERBB2	her2	other	Intclust5	LuminalA	NA	cluster7	rppa9	cluster6
bt483	-1.38	low	5.502	high	7.369	low	1.662	high	ER	luminal	other	Intclust8	LuminalA	NA	cluster7	rppa8	cluster6
bt549	1.225	high	-2.075	low	3.836	low	-3.322	low	TNBC	basalb	CL	Intclust10	CL	M	cluster2	rppa1	cluster4
cal120	-3.322	low	-0.891	low	4.686	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	MSL	cluster2	rppa2	cluster1
cal148	2.021	high	-3.322	low	5.699	low	-3.322	low	TNBC	luminal	other	Intclust8	HER2	LAR	cluster6	rppa3	cluster4
cal51	-3.322	low	-3.322	low	5.46	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	M	cluster1	rppa3	cluster4
cal851	-3.322	low	-0.072	low	5.917	low	-3.322	low	TNBC	basala	other	Intclust4	Basal	IM	cluster5	rppa2	cluster3
cama1	3.865	high	3.554	high	5.344	low	3.656	high	ER	luminal	other	Intclust6	LuminalB	NA	cluster7	rppa3	cluster6
du4475	-3.322	low	-3.322	low	2.352	low	-3.322	low	TNBC	basalb	other	Intclust3	NA	UNS	cluster1	rppa3	cluster5
efm19	4.563	high	5.737	high	5.937	low	5.425	high	ER	luminal	other	Intclust8	LuminalA	NA	cluster7	rppa8	cluster6
efm192a	0.773	low	1.684	low	10.611	high	-3.322	low	ERBB2	her2	other	Intclust5	LuminalA	NA	cluster6	rppa9	cluster6
evsat	1.375	high	-3.322	low	6.265	low	2.538	high	ER	luminal	other	Intclust6	HER2	NA	cluster6	rppa4	cluster6
hbl100	-3.322	low	-3.322	low	3.993	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	MSL	cluster2	rppa4	cluster4
hcc1008	2.773	high	2.032	high	8.107	low	-3.322	low	ER	luminal	other	Intclust4	LuminalA	NA	cluster5	NA	cluster2
hcc1143	-0.931	low	1.016	low	4.502	low	-3.322	low	TNBC	basala	other	Intclust9	Basal	BL1	cluster3	rppa4	cluster4
hcc1187	1.859	high	-2.398	low	6.246	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	IM	cluster3	rppa4	cluster1
hcc1395	-1.971	low	-3.322	low	3.772	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	UNS	cluster2	rppa1	cluster5
hcc1419	2.772	high	3.226	high	11.857	high	-3.322	low	ERBB2	her2	other	Intclust7	LuminalA	NA	cluster6	rppa9	cluster2
hcc1428	4.211	high	5.271	high	5.303	low	3.496	high	ER	luminal	other	Intclust1	LuminalB	NA	cluster7	rppa8	cluster2
hcc1500	4.493	high	6.792	high	5.508	low	3.244	high	ER	luminal	other	Intclust6	LuminalA	NA	cluster7	rppa8	cluster6
hcc1569	-3.322	low	-3.322	low	9.297	high	-3.322	low	ERBB2	basalb	other	Intclust9	Basal	NA	cluster3	rppa4	cluster1
hcc1599	-1.807	low	0.125	low	4.953	low	-3.322	low	TNBC	basala	other	Intclust9	Basal	BL1	cluster3	rppa4	cluster2
hcc1806	-3.322	low	0.726	low	3.971	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL2	cluster4	rppa4	cluster3
hcc1937	-3.322	low	1.792	low	4.7	low	-3.322	low	TNBC	basala	other	Intclust9	Basal	BL2	cluster5	rppa4	cluster4
hcc1954	1.577	high	0.328	low	11.455	high	-3.322	low	ERBB2	basala	other	Intclust5	HER2	NA	cluster5	rppa9	cluster5
hcc202	5.388	high	-0.075	low	10.611	high	-3.103	low	ERBB2	her2	other	Intclust5	HER2	NA	cluster6	rppa9	cluster2
hcc2185	2.484	high	1.353	low	7.256	low	-3.322	low	TNBC	luminal	other	Intclust10	LuminalB	LAR	cluster6	rppa4	cluster2
hcc2218	4.137	high	-1.13	low	9.297	high	-3.322	low	ERBB2	her2	other	Intclust1	LuminalA	NA	cluster6	rppa9	cluster2
hcc2688	3.812	high	-0.468	low	6.224	low	-3.322	low	TNBC	luminal	other	Intclust3	Basal	LAR	cluster6	rppa4	cluster5
hcc3153	-2.465	low	-3.322	low	6.325	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL1	cluster3	rppa4	cluster4
hcc38	-3.322	low	-3.322	low	5.405	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL1	cluster3	rppa3	cluster1
hcc70	0.752	low	0.278	low	4.592	low	-3.322	low	TNBC	basala	other	Intclust10	Basal	BL2	cluster3	rppa4	cluster5
hcc712	2.6	high	5.814	high	6.888	low	-1.088	low	ER	luminal	other	Intclust1	LuminalB	NA	cluster7	NA	NA
hdqp1	-3.322	low	0.225	low	5.774	low	-3.322	low	TNBC	basala	other	Intclust4	Normal	IM	cluster5	rppa1	cluster4
hs578t	1.048	high	-3.322	low	4.221	low	-3.322	low	TNBC	basalb	CL	Intclust4	CL	MSL	cluster2	rppa6	cluster5
jimt1	-3.322	low	0.655	low	8.035	low	-3.322	low	TNBC	basala	other	Intclust4	Basal	BL2	cluster5	rppa2	cluster4
kpl1	3.591	high	4.709	high	4.616	low	-3.322	low	ER	luminal	other	Intclust1	LuminalB	NA	cluster7	rppa8	cluster6
ly2	2.642	high	5.328	high	4.857	low	-0.201	low	ER	luminal	other	Intclust1	LuminalA	NA	cluster7	rppa8	cluster6
macls2	-1.929	low	-0.443	low	4.535	low	-3.322	low	TNBC	basala	other	Intclust9	Normal	UNS	cluster3	rppa4	cluster3
mb157	-3.322	low	-2.021	low	4.337	low	-3.322	low	TNBC	basalb	other	Intclust5	Basal	BL2	cluster4	NA	cluster4
mcf10a	-3.322	low	-3.273	low	4.841	low	-3.322	low	TNBC	basalb	other	Intclust8	Normal	BL2	cluster4	rppa4	cluster4
